"denpyou_kbn","koumoku_id","default_koumoku_name","koumoku_name","hyouji_flg","hissu_flg","hyouji_seigyo_flg","pdf_hyouji_flg","pdf_hyouji_seigyo_flg","code_output_flg","code_output_seigyo_flg","hyouji_jun"
"A011","hf9_cd","","","0","0","1","0","0","0","0","18"
"A011","hf10_cd","","","0","0","1","0","0","0","0","19"
"A011","houmonsaki","出張先・訪問先","出張先・訪問先","1","1","1","1","1","0","0","20"
"A011","mokuteki","目的","目的","1","1","1","1","1","0","0","21"
"A011","seisankikan","精算期間","精算期間","1","1","0","1","1","0","0","22"
"A011","seisankikan_jikoku","精算期間時刻","精算期間時刻","0","0","1","0","1","0","0","23"
"A011","torihiki_name","取引","取引","1","1","0","1","1","0","1","24"
"A011","kari_kamoku_name","勘定科目","勘定科目","1","1","0","0","1","0","1","25"
"A011","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","1","0","1","26"
"A011","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","27"
"A011","torihikisaki_name_ryakushiki","取引先","取引先","0","0","1","0","1","0","1","28"
"A011","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","29"
"A011","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","30"
"A011","uf1_cd","","","1","0","1","0","0","0","0","31"
"A011","uf2_cd","","","1","0","1","0","0","0","0","32"
"A011","uf3_cd","","","1","0","1","0","0","0","0","33"
"A011","uf4_cd","","","0","0","1","0","0","0","0","34"
"A011","uf5_cd","","","0","0","1","0","0","0","0","35"
"A011","uf6_cd","","","0","0","1","0","0","0","0","36"
"A011","uf7_cd","","","0","0","1","0","0","0","0","37"
"A011","uf8_cd","","","0","0","1","0","0","0","0","38"
"A011","uf9_cd","","","0","0","1","0","0","0","0","39"
"A011","uf10_cd","","","0","0","1","0","0","0","0","40"
"A011","tekiyou","摘要","摘要","1","1","0","1","1","0","0","41"
"A011","shiharaikiboubi","希望日","希望日","1","0","1","1","1","0","0","42"
"A011","shiharaihouhou","方法","方法","1","1","0","1","1","0","0","43"
"A011","shucchou_kbn","出張区分","出張区分","1","1","0","1","1","0","0","44"
"A011","shubetsu1","種別","種別","1","1","0","1","1","0","0","45"
"A011","shubetsu2","種別","種別","1","1","0","1","1","0","0","46"
"A011","kikan","期間","期間","1","1","0","1","1","0","0","47"
"A011","kyuujitsu_nissuu","休日日数","休日日数","0","0","1","0","0","0","0","48"
"A011","koutsuu_shudan","交通手段","交通手段","1","1","0","1","1","0","0","49"
"A011","ryoushuusho_seikyuusho_tou_flg","領収書・請求書等","領収書・請求書等","1","1","0","1","1","0","0","50"
"A011","naiyou_koutsuuhi","内容(交通費)","内容","1","1","1","1","1","0","0","51"
"A011","bikou_koutsuuhi","備考(交通費)","備考","1","0","1","1","1","0","0","52"
"A011","naiyou_nittou","内容(日当・宿泊費等)","内容","1","1","1","1","1","0","0","53"
"A011","bikou_nittou","備考(日当・宿泊費等)","備考","1","0","1","1","1","0","0","54"
"A011","heishu","幣種","幣種","1","0","0","1","1","0","0","55"
"A011","rate","レート","レート","1","0","0","0","0","0","0","56"
"A011","gaika","外貨","外貨","1","0","0","1","1","0","0","57"
"A011","tanka","単価","単価","1","1","0","1","1","0","0","58"
"A011","nissuu","日数","日数","1","1","0","1","1","0","0","59"
"A011","oufuku_flg","往復","往復","1","0","1","1","1","0","0","60"
"A011","houjin_card_riyou","法人カード利用","法人カード利用","1","0","0","1","1","0","0","61"
"A011","kaisha_tehai","会社手配","会社手配","1","0","0","1","1","0","0","62"
"A011","meisai_kingaku","金額","金額","1","1","0","1","1","0","0","63"
"A011","goukei_kingaku","明細金額合計","明細金額合計","1","1","0","1","1","0","0","64"
"A011","uchi_houjin_card_riyou_goukei","法人カード利用合計","法人カード利用合計","1","1","0","1","1","0","0","65"
"A011","kaisha_tehai_goukei","会社手配合計","会社手配合計","1","1","0","1","1","0","0","66"
"A011","sashihiki_shikyuu_kingaku","差引支給金額","差引支給金額","1","1","0","1","1","0","0","67"
"A011","hi_kazei_kingaku","非課税金額","非課税金額","1","1","0","1","1","0","0","68"
"A011","kazei_kingaku","課税金額","課税金額","1","1","0","1","1","0","0","69"
"A011","zeiritsu","消費税率","消費税率","1","1","0","0","0","0","0","70"
"A011","sashihiki_heishu_cd_kaigai","幣種","幣種","1","0","0","0","1","0","0","71"
"A011","sashihiki_rate_kaigai","レート","レート","1","0","0","0","1","0","0","72"
"A011","sashihiki_tanka_kaigai_gaika","差引単価","差引単価","1","0","0","0","1","0","0","73"
"A011","sashihiki_tanka_kaigai","邦貨","邦貨","1","0","0","0","1","0","0","74"
"A011","sashihiki_num","","","1","0","0","0","1","0","0","75"
"A011","sashihiki_kingaku","金額","金額","1","0","0","0","1","0","0","76"
"A011","hosoku","補足","補足","1","0","1","1","1","0","0","77"
"A012","karibarai_on","仮払","仮払","1","1","0","1","1","0","0","1"
"A012","user_name","使用者","使用者","1","1","0","1","1","0","0","2"
"A012","hf1_cd","","","1","0","1","0","0","0","0","3"
"A012","hf2_cd","","","1","0","1","0","0","0","0","4"
"A012","hf3_cd","","","1","0","1","0","0","0","0","5"
"A012","hf4_cd","","","0","0","1","0","0","0","0","6"
"A012","hf5_cd","","","0","0","1","0","0","0","0","7"
"A012","hf6_cd","","","0","0","1","0","0","0","0","8"
"A012","hf7_cd","","","0","0","1","0","0","0","0","9"
"A012","hf8_cd","","","0","0","1","0","0","0","0","10"
"A012","hf9_cd","","","0","0","1","0","0","0","0","11"
"A012","hf10_cd","","","0","0","1","0","0","0","0","12"
"A012","houmonsaki","出張先・訪問先","出張先・訪問先","1","1","1","1","1","0","0","13"
"A012","mokuteki","目的","目的","1","1","1","1","1","0","0","14"
"A012","seisankikan","精算期間","精算期間","1","1","0","1","1","0","0","15"
"A012","seisankikan_jikoku","精算期間時刻","精算期間時刻","0","0","1","0","1","0","0","16"
"A012","torihiki_name","取引","取引","1","1","0","1","1","0","1","17"
"A012","kari_kamoku_name","勘定科目","勘定科目","1","1","0","0","1","0","1","18"
"A012","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","1","0","1","19"
"A012","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","20"
"A012","torihikisaki_name_ryakushiki","取引先","取引先","0","0","1","0","1","0","1","21"
"A012","project_name","プロジェクト","プロジェクト","0","0","1","0","1","0","1","22"
"A012","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","23"
"A012","uf1_cd","","","1","0","1","0","0","0","0","24"
"A012","uf2_cd","","","1","0","1","0","0","0","0","25"
"A012","uf3_cd","","","1","0","1","0","0","0","0","26"
"A012","uf4_cd","","","0","0","1","0","0","0","0","27"
"A012","uf5_cd","","","0","0","1","0","0","0","0","28"
"A012","uf6_cd","","","0","0","1","0","0","0","0","29"
"A012","uf7_cd","","","0","0","1","0","0","0","0","30"
"A012","uf8_cd","","","0","0","1","0","0","0","0","31"
"A012","uf9_cd","","","0","0","1","0","0","0","0","32"
"A012","uf10_cd","","","0","0","1","0","0","0","0","33"
"A012","tekiyou","摘要","摘要","1","1","0","1","1","0","0","34"
"A012","shiharaikiboubi","希望日","希望日","1","0","1","1","1","0","0","35"
"A012","shiharaihouhou","方法","方法","1","1","0","1","1","0","0","36"
"A012","shucchou_kbn","出張区分","出張区分","1","1","0","0","1","0","0","37"
"A012","shubetsu1","種別","種別","1","1","0","1","1","0","0","38"
"A012","shubetsu2","種別","種別","1","1","0","1","1","0","0","39"
"A012","kikan","期間","期間","1","1","0","1","1","0","0","40"
"A012","kyuujitsu_nissuu","休日日数","休日日数","0","0","1","0","0","0","0","41"
"A012","koutsuu_shudan","交通手段","交通手段","1","1","0","1","1","0","0","42"
"A012","naiyou_koutsuuhi","内容(交通費)","内容","1","1","1","1","1","0","0","43"
"A012","bikou_koutsuuhi","備考(交通費)","備考","1","0","1","1","1","0","0","44"
"A012","naiyou_nittou","内容(日当・宿泊費等)","内容","1","1","1","1","1","0","0","45"
"A012","bikou_nittou","備考(日当・宿泊費等)","備考","1","0","1","1","1","0","0","46"
"A012","heishu","幣種","幣種","1","0","0","1","1","0","0","47"
"A012","rate","レート","レート","1","0","0","0","0","0","0","48"
"A012","gaika","外貨","外貨","1","0","0","1","1","0","0","49"
"A012","tanka","単価","単価","1","1","0","1","1","0","0","50"
"A012","nissuu","日数","日数","1","1","0","1","1","0","0","51"
"A012","oufuku_flg","往復","往復","1","0","1","1","1","0","0","52"
"A012","meisai_kingaku","金額","金額","1","1","0","1","1","0","0","53"
"A012","shinsei_kingaku","申請金額","申請金額","1","1","0","1","1","0","0","54"
"A012","karibarai_kingaku","仮払金額","仮払金額","1","1","0","1","1","0","0","55"
"A012","sashihiki_heishu_cd_kaigai","幣種","幣種","1","0","0","0","1","0","0","56"
"A012","sashihiki_rate_kaigai","レート","レート","1","0","0","0","1","0","0","57"
"A012","sashihiki_tanka_kaigai_gaika","差引単価","差引単価","1","0","0","0","1","0","0","58"
"A012","sashihiki_tanka_kaigai","邦貨","邦貨","1","0","0","0","1","0","0","59"
"A012","sashihiki_num","","","1","0","0","0","1","0","0","60"
"A012","sashihiki_kingaku","金額","金額","1","0","0","0","1","0","0","61"
"A012","hosoku","補足","補足","1","0","1","1","1","0","0","62"
"A006","torihiki_name","取引","取引","1","1","0","1","1","0","1","1"
"A006","hf1_cd","","","1","0","1","0","0","0","0","2"
"A006","hf2_cd","","","1","0","1","0","0","0","0","3"
"A006","hf3_cd","","","1","0","1","0","0","0","0","4"
"A006","hf4_cd","","","0","0","1","0","0","0","0","5"
"A006","hf5_cd","","","0","0","1","0","0","0","0","6"
"A006","hf6_cd","","","0","0","1","0","0","0","0","7"
"A006","hf7_cd","","","0","0","1","0","0","0","0","8"
"A006","hf8_cd","","","0","0","1","0","0","0","0","9"
"A006","hf9_cd","","","0","0","1","0","0","0","0","10"
"A006","hf10_cd","","","0","0","1","0","0","0","0","11"
"A006","kari_kamoku_name","勘定科目","勘定科目","1","1","0","0","1","0","1","12"
"A006","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","1","0","1","13"
"A006","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","14"
"A006","torihikisaki_name_ryakushiki","取引先","取引先","0","0","1","0","1","0","1","15"
"A006","project_name","プロジェクト","プロジェクト","0","0","1","0","1","0","1","16"
"A006","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","17"
"A006","uf1_cd","","","1","0","1","0","0","0","0","18"
"A006","uf2_cd","","","1","0","1","0","0","0","0","19"
"A006","uf3_cd","","","1","0","1","0","0","0","0","20"
"A006","uf4_cd","","","0","0","1","0","0","0","0","21"
"A006","uf5_cd","","","0","0","1","0","0","0","0","22"
"A006","uf6_cd","","","0","0","1","0","0","0","0","23"
"A006","uf7_cd","","","0","0","1","0","0","0","0","24"
"A006","uf8_cd","","","0","0","1","0","0","0","0","25"
"A006","uf9_cd","","","0","0","1","0","0","0","0","26"
"A006","uf10_cd","","","0","0","1","0","0","0","0","27"
"A006","shiyou_kikan_kbn","使用期間","使用期間","1","1","0","1","1","0","0","28"
"A006","shiyou_kaishibi","使用開始日","使用開始日","1","1","0","1","1","0","0","29"
"A006","shiyou_shuuryoubi","使用終了日","使用終了日","1","1","0","0","0","0","0","30"
"A006","jyousha_kukan","乗車区間","乗車区間","1","1","0","1","1","0","0","31"
"A006","kingaku","金額","金額","1","1","0","1","1","0","0","32"
"A006","zeiritsu","消費税率","消費税率","1","1","0","0","0","0","0","33"
"A007","denpyou_date","伝票日","伝票日","1","1","0","1","1","0","0","1"
"A007","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","0","0","2"
"A007","kingaku","金額","金額","1","1","0","1","1","0","0","3"
"A007","zeiritsu","消費税率","消費税率","1","1","0","0","0","0","0","4"
"A007","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","5"
"A007","hf1_cd","","","1","0","1","0","0","0","0","6"
"A007","hf2_cd","","","1","0","1","0","0","0","0","7"
"A007","hf3_cd","","","1","0","1","0","0","0","0","8"
"A007","hf4_cd","","","0","0","1","0","0","0","0","9"
"A007","hf5_cd","","","0","0","1","0","0","0","0","10"
"A007","hf6_cd","","","0","0","1","0","0","0","0","11"
"A007","hf7_cd","","","0","0","1","0","0","0","0","12"
"A007","hf8_cd","","","0","0","1","0","0","0","0","13"
"A007","hf9_cd","","","0","0","1","0","0","0","0","14"
"A007","hf10_cd","","","0","0","1","0","0","0","0","15"
"A007","kamoku_name","勘定科目","勘定科目","1","1","0","1","1","0","1","16"
"A007","kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","0","1","17"
"A007","futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","18"
"A007","torihikisaki_name_ryakushiki","取引先","取引先","1","0","1","1","1","0","1","19"
"A007","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","20"
"A007","uf1_cd","","","1","0","1","1","1","0","0","21"
"A007","uf2_cd","","","1","0","1","1","1","0","0","22"
"A007","uf3_cd","","","1","0","1","1","1","0","0","23"
"A007","uf4_cd","","","0","0","1","0","1","0","0","24"
"A007","uf5_cd","","","0","0","1","0","1","0","0","25"
"A007","uf6_cd","","","0","0","1","0","1","0","0","26"
"A007","uf7_cd","","","0","0","1","0","1","0","0","27"
"A007","uf8_cd","","","0","0","1","0","1","0","0","28"
"A007","uf9_cd","","","0","0","1","0","1","0","0","29"
"A007","uf10_cd","","","0","0","1","0","1","0","0","30"
"A007","kazei_kbn","課税区分","課税区分","1","1","0","1","1","0","0","31"
"A007","tekiyou","摘要","摘要","1","1","0","1","1","0","0","32"
"A007","bikou","備考","備考","1","0","1","1","1","0","0","33"
"A008","denpyou_date","伝票日","伝票日","1","1","0","1","1","0","0","1"
"A008","shouhyou_shorui_flg","領収書・請求書等","領収書・請求書等","1","1","1","0","0","0","0","2"
"A008","zeiritsu","消費税率","消費税率","1","1","0","0","0","0","0","3"
"A008","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","4"
"A008","hf1_cd","","","1","0","1","0","0","0","0","5"
"A008","hf2_cd","","","1","0","1","0","0","0","0","6"
"A008","hf3_cd","","","1","0","1","0","0","0","0","7"
"A008","hf4_cd","","","0","0","1","0","0","0","0","8"
"A008","hf5_cd","","","0","0","1","0","0","0","0","9"
"A008","hf6_cd","","","0","0","1","0","0","0","0","10"
"A008","hf7_cd","","","0","0","1","0","0","0","0","11"
"A008","hf8_cd","","","0","0","1","0","0","0","0","12"
"A008","hf9_cd","","","0","0","1","0","0","0","0","13"
"A008","hf10_cd","","","0","0","1","0","0","0","0","14"
"A008","kamoku_name","勘定科目","勘定科目","1","1","0","1","1","0","1","15"
"A008","kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","0","1","16"
"A008","futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","17"
"A008","torihikisaki_name_ryakushiki","取引先","取引先","1","0","1","1","1","0","1","18"
"A008","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","19"
"A008","uf1_cd","","","1","0","1","1","1","0","0","20"
"A008","uf2_cd","","","1","0","1","1","1","0","0","21"
"A008","uf3_cd","","","1","0","1","1","1","0","0","22"
"A008","uf4_cd","","","0","0","1","0","1","0","0","23"
"A008","uf5_cd","","","0","0","1","0","1","0","0","24"
"A008","uf6_cd","","","0","0","1","0","1","0","0","25"
"A008","uf7_cd","","","0","0","1","0","1","0","0","26"
"A008","uf8_cd","","","0","0","1","0","1","0","0","27"
"A008","uf9_cd","","","0","0","1","0","1","0","0","28"
"A008","uf10_cd","","","0","0","1","0","1","0","0","29"
"A008","kazei_kbn","課税区分","課税区分","1","1","0","1","1","0","0","30"
"A008","kingaku_goukei","合計金額","合計金額","1","1","0","1","1","0","0","31"
"A008","kingaku","金額","金額","1","1","0","1","1","0","0","32"
"A008","tekiyou","摘要","摘要","1","1","0","1","1","0","0","33"
"A008","bikou","備考","備考","1","0","1","1","1","0","0","34"
"A008","hosoku","補足","補足","1","0","1","1","1","0","0","35"
"A009","hikiotoshibi","引落日","引落日","1","1","0","1","1","0","0","1"
"A009","hf1_cd","","","1","0","1","0","0","0","0","2"
"A009","hf2_cd","","","1","0","1","0","0","0","0","3"
"A009","hf3_cd","","","1","0","1","0","0","0","0","4"
"A009","hf4_cd","","","0","0","1","0","0","0","0","5"
"A009","hf5_cd","","","0","0","1","0","0","0","0","6"
"A009","hf6_cd","","","0","0","1","0","0","0","0","7"
"A009","hf7_cd","","","0","0","1","0","0","0","0","8"
"A009","hf8_cd","","","0","0","1","0","0","0","0","9"
"A009","hf9_cd","","","0","0","1","0","0","0","0","10"
"A009","hf10_cd","","","0","0","1","0","0","0","0","11"
"A009","torihiki_name","取引","取引","1","1","0","1","1","0","1","12"
"A009","kari_kamoku_name","勘定科目","勘定科目","1","1","0","1","1","0","1","13"
"A009","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","1","1","0","1","14"
"A009","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","15"
"A009","torihikisaki_name_ryakushiki","支払先","支払先","1","0","1","1","1","0","1","16"
"A009","shiharai_kingaku_goukei","支払金額合計","支払金額合計","1","1","0","1","1","0","0","17"
"A009","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","18"
"A009","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","19"
"A009","uf1_cd","","","1","0","1","0","0","0","0","20"
"A009","uf2_cd","","","1","0","1","0","0","0","0","21"
"A009","uf3_cd","","","1","0","1","0","0","0","0","22"
"A009","uf4_cd","","","0","0","1","0","0","0","0","23"
"A009","uf5_cd","","","0","0","1","0","0","0","0","24"
"A009","uf6_cd","","","0","0","1","0","0","0","0","25"
"A009","uf7_cd","","","0","0","1","0","0","0","0","26"
"A009","uf8_cd","","","0","0","1","0","0","0","0","27"
"A009","uf9_cd","","","0","0","1","0","0","0","0","28"
"A009","uf10_cd","","","0","0","1","0","0","0","0","29"
"A009","kari_kazei_kbn","課税区分","課税区分","1","1","0","1","1","0","0","30"
"A009","zeiritsu","消費税率","消費税率","1","1","0","1","1","0","0","31"
"A009","shiharai_kingaku","支払金額","支払金額","1","1","0","1","1","0","0","32"
"A009","tekiyou","摘要","摘要","1","1","0","1","1","0","0","33"
"A009","hosoku","補足","補足","1","0","1","1","1","0","0","34"
"A010","mokuteki","目的","目的","1","1","1","1","1","0","0","1"
"A010","seisankikan","精算期間","精算期間","1","1","0","1","1","0","0","2"
"A010","seisankikan_jikoku","精算期間時刻","精算期間時刻","0","0","1","0","1","0","0","3"
"A010","hf1_cd","","","1","0","1","0","0","0","0","4"
"A010","hf2_cd","","","1","0","1","0","0","0","0","5"
"A010","hf3_cd","","","1","0","1","0","0","0","0","6"
"A010","hf4_cd","","","0","0","1","0","0","0","0","7"
"A010","hf5_cd","","","0","0","1","0","0","0","0","8"
"A010","hf6_cd","","","0","0","1","0","0","0","0","9"
"A010","hf7_cd","","","0","0","1","0","0","0","0","10"
"A010","hf8_cd","","","0","0","1","0","0","0","0","11"
"A010","hf9_cd","","","0","0","1","0","0","0","0","12"
"A010","hf10_cd","","","0","0","1","0","0","0","0","13"
"A010","torihiki_name","取引","取引","1","1","0","1","1","0","1","14"
"A010","kari_kamoku_name","勘定科目","勘定科目","1","1","0","0","1","0","1","15"
"A010","kari_kamoku_edaban_name","勘定科目枝番","勘定科目枝番","1","0","1","0","1","0","1","16"
"A010","kari_futan_bumon_name","負担部門","負担部門","1","0","1","1","1","0","1","17"
"A010","torihikisaki_name_ryakushiki","取引先","取引先","0","0","1","0","1","0","1","18"
"A010","project_name","プロジェクト","プロジェクト","1","0","1","1","1","0","1","19"
"A010","segment_name_ryakushiki","セグメント","セグメント","0","0","1","0","1","0","1","20"
"A010","uf1_cd","","","1","0","1","0","0","0","0","21"
"A010","uf2_cd","","","1","0","1","0","0","0","0","22"
"A010","uf3_cd","","","1","0","1","0","0","0","0","23"
"A010","uf4_cd","","","0","0","1","0","0","0","0","24"
"A010","uf5_cd","","","0","0","1","0","0","0","0","25"
"A010","uf6_cd","","","0","0","1","0","0","0","0","26"
"A010","uf7_cd","","","0","0","1","0","0","0","0","27"
"A010","uf8_cd","","","0","0","1","0","0","0","0","28"
"A010","uf9_cd","","","0","0","1","0","0","0","0","29"
"A010","uf10_cd","","","0","0","1","0","0","0","0","30"
"A010","tekiyou","摘要","摘要","1","1","0","1","1","0","0","31"
"A010","shiharaikiboubi","希望日","希望日","1","0","1","1","1","0","0","32"
"A010","shiharaihouhou","方法","方法","1","1","0","1","1","0","0","33"
"A010","shubetsu1","種別","種別","1","1","0","1","1","0","0","34"
"A010","shubetsu2","種別","種別","1","1","0","1","1","0","0","35"
"A010","kikan","期間","期間","1","1","0","1","1","0","0","36"
"A010","koutsuu_shudan","交通手段","交通手段","1","1","0","1","1","0","0","37"
"A010","ryoushuusho_seikyuusho_tou_flg","領収書・請求書等","領収書・請求書等","1","1","0","1","1","0","0","38"
"A010","naiyou_koutsuuhi","内容","内容","1","1","1","1","1","0","0","39"
"A010","bikou_koutsuuhi","備考","備考","1","0","1","1","1","0","0","40"
"A010","tanka","単価","単価","1","1","0","0","0","0","0","41"
"A010","oufuku_flg","往復","往復","1","0","1","1","1","0","0","42"
"A010","houjin_card_riyou","法人カード利用","法人カード利用","1","0","0","1","1","0","0","43"
"A010","kaisha_tehai","会社手配","会社手配","1","0","0","1","1","0","0","44"
"A010","meisai_kingaku","金額","金額","1","1","0","1","1","0","0","45"
"A010","goukei_kingaku","明細金額合計","明細金額合計","1","1","0","1","1","0","0","46"
"A010","uchi_houjin_card_riyou_goukei","法人カード利用合計","法人カード利用合計","1","1","0","1","1","0","0","47"
"A010","kaisha_tehai_goukei","会社手配合計","会社手配合計","1","1","0","1","1","0","0","48"
"A010","sashihiki_shikyuu_kingaku","差引支給金額","差引支給金額","1","1","0","1","1","0","0","49"
"A010","zeiritsu","消費税率","消費税率","1","1","0","0","0","0","0","50"
"A010","hosoku","補足","補足","1","0","1","1","1","0","0","51"
